name,stats,desc,all_zl,step
"
                新味蕾·老干妈盐焗鸡
            ",4,"
        一开始听到朋友说用老干妈来做盐焗鸡好吃的时候，我的心情就像看到了用老干妈炒广式月饼一样新奇和难以形容🙃抵不过朋友的多次称赞，便试做了一下，发现确实比想象中容易接受。盐焗后的鸡并没有老干妈的那股辣劲（辣味很小）也没有老干妈那股自带招牌的味儿我平时只吃老干妈香菇味那款辣椒，其余的都不怎么吃，觉得味有点呛，但是这次用的刚好就是经典款的：风味鸡油辣椒
      ","鸡1只（约1500克）,老干妈（油+籽）约55克（可增减）,细盐1克,粗盐2500克（可增减）,盐焗鸡纸1～2张（大小看鸡）,清水一小杯","
              准备好所需食材·商场或市场调味区基本有粗盐出售。                                                              ⚠️老干妈可换成：细盐、盐焗鸡粉等
              
            
              鸡清洗干净，沥水后放入容器内，加入适量老干妈（里面的辣椒油也要一点），1克盐
              
            
              整鸡抹匀（包括鸡肚内部）腌制一小时左右
              
            
              锅内加入粗盐，盐加厚点，约4厘米左右。压平压实。                                                                                                ⚠️锅子建议使用厚点的不锈钢锅/铁铸锅    ⚠️底部盐不要铺太薄，鸡容易焗焦
              
            
              油纸平铺，把腌制好的鸡放上去
              
            
              把整只鸡包裹起来（如果纸薄容易破就裹2层）
              
            
              把裹好的鸡放入锅内
              
            
              再倒入其余盐，把鸡覆盖住，稍微压实
              
            
              覆盖好的锅内倒入一小杯水（以免盐糊底）大火烧至锅上气·转小火慢焖30分钟即可。              ⚠️鸡如果大，焖的时间要长些。
              
            
              辨别鸡生熟：用筷子戳一下鸡腿，没出血就是熟了。
              
            
              「老干妈盐焗鸡」
              
            
              「老干妈盐焗鸡」·手撕吃也可以
              
            
              「老干妈盐焗鸡」
              
            
              「老干妈盐焗鸡」·砍块也不错😆我妈说我砍的鸡一眼就能分辨出来，丑成酱紫……
              
            
              「老干妈盐焗鸡」
              
            "
"
                红烧豆腐
            ",1,"
        女儿以前不爱吃豆腐，就学了这道菜，她很喜欢～
      ","豆腐半块,葱少许,生抽1勺,糖六颗,蚝油1勺","
              豆腐切片两面煎黄。因为是给小朋友吃的，所以切的比较小。
              
            
              豆腐煎好后盛出来备用。油锅放入黄冰糖用小火融化，可以稍微焦一点，也注意不要太过火。
              
            
              黄冰糖融化后放入煎好的豆腐翻炒。然后加入生抽、蚝油，翻炒翻炒～
              
            
              加入小葱花～继续翻炒～
              
            
              最后盛盘开动～
              
            "
"
                干煸菜花
            ",7.9,"
        湘菜馆的干煸菜花焦香爽脆，是超人气的下饭菜，当然，来扎啤酒就更给力了。自己在家炒菜花操作不当很容易变成焖菜花，口感软烂，注意以下几点就能炒出焦香爽脆又入味的餐馆味道。第一，最好用松花菜，松花菜又称散花菜、青梗松花菜、有机花菜、白面散花菜、有机菜花。具体样子步骤图里有。实在没有就普通菜花吧。第二，铁锅和干锅菜花最搭配，最好用厚底铁锅，能爆炒保温性能又好。第三，先用五花肉煸炒出油更能带出菜花的香味，肉越肥越好，不喜欢可以不吃，但配菜味道特别棒。第四，菜花一定要沥干水分。第五，一定要大火爆炒，略带焦色香味更浓。第六，加一勺酱油是点晴之笔。第七，盐一定要出锅前再放，不需多，快速炒匀后分布在菜花的表面，入口咸香更有滋味。松花菜不用焯水，如果用普通菜花，焯水时间要短，及时过凉再充分沥干，否则真就是五花肉焖菜花了。
      ","松花菜半只,五花肉50克,生姜5克,大蒜三瓣,辣椒2个,盐2克,酱油15克","
              菜花冲洗干净后用小刀沿着柄削成小朵，用淡盐水浸泡10分钟，充分沥干水分。
              
            
              五花肉入锅小火慢慢煸炒出油，如果肉不够肥，锅中可以先放少许油再煸，出油后加生姜炒出香味。
              
            
              开大火，油热的时候倒入菜花，铺匀略煎30秒再翻炒几下。
              
            
              盖上锅盖，调中火焗30秒。
              
            
              这时候可以看到菜花头有点焦色了。
              
            
              加入辣椒和大蒜碎翻炒几下。这个是之前的老锅，现在已经淘汰了。
              
            
              炒匀后加入一勺生抽，翻炒均匀。
              
            
              起锅前加入一勺盐炒匀即可。
              
            
              焦香爽脆，超级下饭。
              
            "
"
                咖喱鸡肉饭（新手也能一次成功）
            ",7,"
        做饭大概是留学生生存的必备技能了，第一次自己做咖喱饭是留学时室友教的，自那次以后咖喱就是家里的常备菜品。又简单又下饭，零失败，味道可比外面饭馆的咖喱饭好吃多啦～软糯香甜的口感，跟白米饭简直是绝配。本菜谱是4人份的，再炒个蔬菜，配个紫菜蛋花汤，一家人的午饭就妥妥的解决啦。
      ","鸡腿肉300g,土豆1个,米饭4碗,洋葱半个,胡萝卜半根,好侍百梦多咖喱微辣1盒（100g）,生抽2勺,料酒2勺,青豆、玉米、香菇（可选）少许","
              准备食材。鸡肉切丁，放2勺生抽、2勺料酒、半勺盐，抓匀腌制15分钟。土豆、胡萝卜去皮切丁，洋葱切块。
              
            
              炒鸡肉。热锅冷油，下洋葱和鸡肉，大火炒至变色后盛盘备用。
              
            
              炒蔬菜。就着刚炒过鸡肉的锅，再添一点油，下土豆、胡萝卜等蔬菜丁，大火翻炒2分钟。
              
            
              加冷水至漫过锅中的食材，盖上锅盖烧至水开。
              
            
              加炒好的鸡肉和咖喱块，搅拌均匀，开中火煮约10分钟。
              
            
              期间不时搅拌，防止锅底烧糊粘锅。把土豆、胡萝卜煮软就大功告成啦～！
              
            
              把米饭用一个圆底的小碗盛出，用饭勺在表面压几下，然后倒扣着放到盘里，淋上咖喱就可以开动啦～！
              
            "
"
                素食︶姜黄 花菜烩豆腐
            ",0,"
        “忍”能养福；“忠”能养禄；“乐”能养寿；“动”能养身；“学”能养识；“静”能养心；“勤”能养财；“爱”能养家；“诚”能养友；“善”能养德。个人微信号：Dove1040892558持续更新素食菜谱，感恩食素🌿欢迎分享和转发，感恩🥰🥑 吃素就是慈悲；吃素就是环保；🍠 吃素能够消灾；吃素能够治病；🌽 吃素能够救命；吃素能够延寿；🍎 吃素就是功德，大家一起吃素
      ","材料：水豆腐，秀花菜，红萝卜，小木耳，姜。,调味料：植物油，麻油，姜黄粉，素蚝油，糖，盐，生粉。","
              1、豆腐切小块。秀花菜洗净剪小朵。红萝卜去皮切片。小木耳泡发好。姜切片。
              
            
              2、热锅下油，把豆腐煎至金黄色装起备用。利用余油放入姜片爆香，将秀花菜、小木耳、红萝卜炒香，再放小许热开水，豆腐回锅，下入调味料和姜皇粉稍煮，最后勾芡，洒小许麻油即成。
            "
"
                炒羊肚菌
            ",0,,"羊肚菌八个,盐一勺,大蒜五瓣,酱油一勺,葱一根,姜五片,奥尔良鸡块200克,蚝油一勺,红椒一个,油一勺","
              羊肚菌泡20分钟后剪开洗净泥沙，沥干水分
              
            
              姜蒜切片，红辣椒和葱切段
              
            
              热锅热油一勺，爆香姜葱蒜椒，放鸡块，羊肚菌，加水一碗，盐和生抽，蚝油一勺，大火炒五分钟
              
            
              炒羊肚菌完成
              
            "
"
                清炒西洋菜
            ",0,,"西洋菜350克,盐一勺,蒜三瓣,蚝油一勺,油一勺","
              西洋菜择去黄叶后清洗，对半切开
              
            
              热锅热油一勺爆香蒜
              
            
              加西洋菜翻炒，出水后加蚝油和盐一勺
              
            
              清炒西洋菜完成
              
            "
"
                🍆肉末茄子豆角（拌饭）🍆
            ",0,"
        🌟好吃不腻🌟🌟拌饭神器🌟
      ","茄子1个,牛肉末450克,豆角适量,酱油1勺,盐适量,豆瓣酱1勺,糖适量,蚝油1勺,辣椒油1勺","
              豆角洗净改刀成段，茄子切丁，放少许盐腌制出水，肉末装盘备用
              
            
              热锅冷油，下肉末翻炒至完全变色，装盘备用
              
            
              （不用洗锅）下入茄子、豆角翻炒至变软，下入一勺豆瓣酱翻炒均匀上色
              
            
              加入肉末翻炒，加一碗清水，按各人口味加入盐、蚝油、糖、生抽（酱油）、辣椒油调味，大火烧开后盖盖儿中火焖煮5-10分钟（注意：焖煮时间根据汤汁浓稠/收汁程度调整，建议预留点汤汁拌饭）
              
            
              盛一碗米饭，将烧好的豆角肉末茄子铺在米饭上，开拌！❤️
              
            "
"
                蒜蓉生蚝
            ",0,"
        自己动手更加鲜美。
      ","蒜10瓣,油少许,盐少许,小米辣5个,蚝油1勺,生抽1勺,生蚝20个","
              1、用小刀把生蚝肉与壳分离，用清水洗干净后用把肉放回壳里摆好；
              
            
              2、蒜头，红辣椒分别剁好。热油锅倒入蒜头、红辣椒爆香，倒入小许生抽、蚝油，水，盐调味；
              
            
              3、将爆香的蒜蓉辣椒分别铺在冼干净的生蚝上，整碟放进锅里蒸10分钟；
              
            
              5、美味的蒜蓉辣椒蒸生蚝出锅啦。
              
            "
"
                苍蝇头（经典台湾家常菜）
            ",8.2,"
        这道菜名字确实不好听，不过味道我敢说很棒
      ","肉末,蒜苔,蒜末,葱末,小米椒,料酒一勺,白糖一勺,生抽一勺,淀粉一勺,老抽适量,盐适量,鸡精少许","
              肉末腌制：一勺料酒、一勺糖、一勺淀粉、一勺生抽，用筷子搅拌均匀腌制十分钟以上。
              
            
              蒜苔洗净切成1-2cm大的小粒备用。
            
              锅内倒入少许油，热锅凉油放入肉末翻炒倒入老抽调色盛出备用。
            
              锅内倒入新油，爆香蒜末葱末（这几天胃口痛没有放辣子，来几个小米椒更下饭），蒜苔倒入翻炒不用加水，蒜苔容易出水分放入食盐翻炒，倒入肉末继续翻炒，放入少量鸡精即可。 
            
              超级下饭我敢说可以完胜“一茶一坐”餐厅，能吃好几碗米饭呢，大家试试吧！^_^
              
            "
"
                超好吃的素炒鱼豆腐（零失败率）快炒
            ",7.8,"
        因为鱼豆腐本身就很美味，所以这道菜很简单（只放盐也可以炒）。我又撒了一点孜然粉，哦，对了，还有少许蚝油，味道美极啦。如果家里只有鱼豆腐，也不用担心，清炒就可以咯，其他配菜主要是为了颜色搭配好看，也更可口
      ","鱼豆腐一小盘大约15个左右,木耳一小把,青椒一个,火腿两根（可有可无）,熟芝麻可有可无,孜然粉适量,盐少量,蚝油一勺","
              鱼豆腐切成小块备用（我把一个切成三片了）
              
            
              一小把木耳泡发，发好以后用水煮几分钟，捞出备用
              
            
              青椒切块，火腿切片的图忘了拍了（绿绿的青椒，红红的火腿再搭配上鱼豆腐是不是颜色很好看呢）
              
            
              锅热以后倒上油，油热以后把所有配菜倒进去炒到鱼豆腐软嫩为止，可以适量洒点水以免糊锅。撒上盐和孜然粉，还有蚝油，记得放点芝麻哦。好了，美味出盘！
              
            "
"
                【香菇火腿南瓜饭】快午餐，惊艳你的味蕾，好吃到一碗一碗停不下来
            ",6,"
        一个月总有那么懒的几天。。😑一想到做中午饭还要炒几个菜煮汤煮饭什么的，然后煮几个菜洗的碗盘也多，就觉得烦每次懒癌发作的时候，就煮个咸饭，把菜肉米统统倒进锅里炒一炒，然后扔电饭锅就完事了😏再简单煮个紫菜汤或者西红柿蛋汤🍅，一顿营养均衡，菜肉饭齐全的快手午餐就搞定了😋差不多也就十几二十分钟吧～省下的时候刷刷微博，看看电视剧😌劳逸结合嘛～～女人阿，还是要对自己好一点🥰🥰
      ","南瓜小半个,香菇8朵,虾米一小撮（约20只）,香肠半根,米3杯,蒜头3瓣,葱1根,酱油3汤匙,盐少许,料酒1汤匙","
              准备好材料，我这个量大概是够4个人吃：南瓜小半个，葱1根，香肠半截（也可以用猪肉碎、或者腊肠代替），虾米一小撮，大概20只吧，香菇8朵（提前泡发），米（量米杯3杯）
              
            
              1⃣️蒜头、虾米切碎；2⃣️南瓜带皮切成小块（不需要去皮，这样南瓜煮熟不容易散）；3⃣️香菇对半切；4⃣️葱切碎，葱白和葱绿分开；5⃣️香肠切小块；
              
            
              米洗净，沥干水分放一边备用
              
            
              热锅，多下点油，放蒜头和葱白爆香，炒干一些
              
            
              1⃣️下香菇，炒出香味；2⃣️放虾米🦐，炒香；3⃣️放香肠；4⃣️最后倒入南瓜，炒2-3分钟
              
            
              倒入生米，炒到2-3分钟。倒入3勺酱油、少许盐，1汤匙料酒，炒匀。
              
            
              所有材料倒入电饭锅，加水（跟正常煮干饭一样的水量：米的表面到水面的距离约为一个指节），按煮饭键
              
            
              等电饭锅说煮好了，撒上葱花，香喷喷的香菇火腿南瓜饭🎃就做好啦👻～～刚好做完的时候，我老公带宝宝回家，一进家门俩人就说好香好香，简直是狗鼻子哈哈哈🥰😋
              
            "
"
                厨师长教你：“糖醋排骨”的创新做法，味道香甜不腻口，先收藏了
            ",9.1,"
        厨师长教你：“糖醋排骨”的创新做法，味道香甜不腻口，先收藏了
      ","精瘦型排骨适量,生姜1小块,柠檬1个,干山楂适量,大葱2根,冰糖适量,植物油适量,料酒适量,保宁醋5克,食用盐少许","
              首先我们准备一板精瘦型的排骨将排骨每根分开之后剁成大小均匀的块备用最好选择肉少的排骨因为这道菜吃的是味道而不是肉
              
            
              下一步我们开始准备辅料准备生姜1小块切成姜片备用准备柠檬1个切成片备用加柠檬的目的是让酸度更纯
              
            
              然后我们把柠檬中的籽去掉同学们柠檬籽会让菜品发苦所以必须去掉
              
            
              准备适量的干山楂备用加山楂的目的是增加香甜解除排骨的腻味
              
            
              准备大葱2根切成段备用
              
            
              准备适量的冰糖敲散备用敲散的冰糖是用于糖色的炒制
              
            
              下一步我们开始制作首先我们在锅中加入适量的清水然后将准备好的排骨下锅焯水10分钟
              
            
              中途再加入适量的料酒去腥
              
            
              水开之后再撇去浮沫焯水10分钟的目的是让排骨的肉质松散脱骨喜欢有嚼劲的同学可以只焯水6分钟即可10分钟之后将排骨倒出备用
              
            
              然后我们再次把锅烧热锅烧热之后加入宽油
              
            
              油温烧至6成热之后将排骨下锅炸香炸至略黄这一步的目的是将排骨表面的肉收紧炸香排骨炸好之后倒出控油备用
              
            
              下一步开始炒糖色首先我们将准备好的冰糖下锅然后加入适量的清水将冰糖炒化冰糖变糖色的过程就是糖化和焦变后续会跟大家分享糖色的全部过程
              
            
              当糖浆接近咖啡色的时候将锅离火继续用铁锅的余温将其炒至想要的颜色
              
            
              再加入事先准备好的开水下锅把糖色与水融合
              
            
              然后将炸好的排骨下锅加入切好的姜片再加入切好的柠檬和山楂翻炒之后再加入适量的清水将排骨烧20分钟
              
            
              中途加入适量的冰糖冰糖的量可以根据个人口味来调节
              
            
              锅中加入5克保宁醋增加酸味同学们醋可以少加一些因为柠檬的酸味也在其中不能让醋和柠檬抢味
              
            
              烧至10分钟的时候再加入少许的食用盐调味同学们糖醋味的菜肴加盐并不能调咸味而是通过食用盐让糖醋的味道更加醇厚
              
            
              再加入切好的大葱段下锅
              
            
              当烧至20分钟之后将大葱和柠檬捡出不用
              
            
              然后继续小火收汁3分钟将汤汁收浓汤汁浓稠之后翻炒几下即可出锅装盘
              
            
              一道酸甜可口的糖醋排骨就制作完成
              
            "
"
                厨师长教你：“爆炒土鸡”的家常做法，只需油盐酱醋，味道非常赞
            ",9.2,"
        厨师长教你：“爆炒土鸡”的家常做法，只需油盐酱醋，味道非常赞
      ","黑皮土公鸡半只,大蒜40克,二荆条几根,小米辣40克,大葱2根,仔姜1小块,熟菜籽油适量,食用盐适量,老抽2克,生抽酱油10克,白糖少许,胡椒粉少许,晒醋少许","
              首先我们准备黑皮土公鸡半只将土鸡剁成几大块之后再剁掉鸡屁股
              
            
              然后去掉指甲之后将鸡肉剁成小块备用同学们最好剁小块一些这样更容易爆炒和入味
              
            
              最后我们在处理鸡脖子的时候将鸡皮扯下来
              
            
              然后将吸附在鸡皮表面的淋巴清除干净鸡脖上面的淋巴不分家养或者养殖都会有所以我们在处理鸡脖子的时候必须认真仔细检查一遍
              
            
              将鸡头剁好之后下一步开始准备辅料
              
            
              准备大蒜40克切成小粒备用同学们爆炒土鸡可以适量的多加一些大蒜这样更香
              
            
              准备几个二荆条去蒂之后切成小粒备用同学们也可以用魔芋或者小土豆代替二荆条
              
            
              准备小米辣40克切成小粒备用不能吃辣的同学可以不加
              
            
              准备大葱2根切成小粒备用
              
            
              最后准备仔姜1小块切成小粒备用建议川外的同学加生姜更好，因为出川后的仔姜味道会发苦温馨提示：此菜为家常小炒一锅成菜，无宽油
              
            
              下一步开始制作首先我们在锅中加入适量的清水然后将剁好的鸡头下锅焯水因为鸡头比较大块所以焯水之后更容易熟透鸡头焯熟之后倒出备用
              
            
              然后我们把锅烧热锅烧热之后再加入适量的熟菜籽油将油温烧至6成热
              
            
              油温6成热之后在锅中加入食用盐1勺（约3克）
              
            
              然后将剁好的鸡块下锅开中小火爆炒5分钟油中加盐的目的是让鸡肉更加的干香和入味
              
            
              当鸡肉炒至水份略干的时候再加入切好的大蒜和辣椒
              
            
              料头下锅之后翻炒几下将大蒜炒香
              
            
              大蒜炒香之后再加入老抽2克转小火将鸡肉翻炒至上色此菜不能加豆瓣酱所以加少许老抽上色
              
            
              鸡肉上色之后加入10克生抽酱油从锅边淋入炒香
              
            
              最后再加入切好的大葱粒，仔姜粒和辣椒粒
              
            
              然后开始调味锅中加入少许白糖中和辣味和提鲜再加入少许胡椒粉然后翻炒几下将辅料炒至断生
              
            
              再加入少许的晒醋从锅边淋入开大火翻炒均匀没有晒醋的同学可以用香醋或者陈醋代替最后大火翻炒几下炒出锅气即可出锅装盘
              
            
              一道非常美味的爆炒土鸡就制作完成
              
            "
"
                超美年菜——京酱肉丝
            ",8.3,,"猪肉300克,料酒1勺,淀粉3勺,蛋清1个,豆皮3张,胡萝卜半根,黄瓜1根,大葱半根,香菜1把,甜面酱80克","
              准备一块猪里脊肉
              
            
              将肉切成丝
              
            
              加入料酒、一个蛋清、适量淀粉，搅拌均匀
              
            
              胡萝卜、黄瓜、大葱切丝，香菜断开，准备2～3张豆皮（依据盘子的大小来准备，我用了2.5张）
              
            
              将豆皮展开，摆好胡萝卜、大葱、黄瓜和香菜
              
            
              卷成卷
              
            
              斜着切好，切的大小尽量一样，这样摆出来更好看
              
            
              找一个圆形的盘子将切好的豆皮卷摆好
              
            
              锅中放油烧热后加入肉丝，翻炒至全部变色
              
            
              另起锅，加入少许油，加入甜面酱，甜面酱的多少与肉丝的量和口味咸淡有关，我大概放了80克甜面酱
              
            
              加入肉丝，翻炒2分钟后起锅，将炒好的肉丝放入摆好的盘中
              
            
              一道美味又美观的京酱肉丝就做好了😋
              
            "
"
                孜然羊肉
            ",3,"
        羊肉串的味道！家人喜欢吃羊肉，天一冷就各种羊肉做起来
      ","羊肉250克,孜然粉适量,孜然粒适量,盐小半勺,味极鲜酱油3勺,辣椒粉适量","
              羊肉切薄片，用水冲洗几遍，去除血水，攥干
              
            
              准备孜然粉、辣椒粉，孜然粒，我没买到，放一点更香
              
            
              羊肉中放入3 勺味极鲜酱油和2勺油，一点点盐腌制10分钟
              
            
              起锅，放油，油温升高放入腌好的羊肉
              
            
              快速翻炒
              
            
              这时会出水，倒掉
              
            
              再炒一炒，有水继续倒掉
              
            
              再放入一点油，翻炒几下，放入孜然粉、孜然粒、辣椒粉，炒匀即可
              
            
              出锅，味道不够再加点孜然粉也可以（孜然粉最好买熟料）一道鲜美的孜然羊肉就完成啦✅
              
            "
"
                肉末豆腐蒸蛋
            ",9.2,"
        🔥专治各种没胃口～～【肉末豆腐蒸蛋】没胃口的时候你一定要试试做一碗肉末豆腐蒸蛋，简单易上手，味道香滑无比，百吃不腻哦！
      ","肉末150克,鸡蛋2个,嫩豆腐1块,生抽1勺,盐1小勺,料酒1勺,蚝油1勺,老抽半勺,白糖1小勺,十三香小半勺","
              嫩豆腐切块
              
            
              码入碗底
              
            
              鸡蛋加1小勺盐
              
            
              打散
              
            
              加入等量的清水搅拌均匀
              
            
              过滤到豆腐中
              
            
              保鲜膜扎小眼
              
            
              上已经烧开的沸水锅中蒸20分钟左右
              
            
              肉沫中加适量姜末
              
            
              锅中适量底油烧热
              
            
              下入肉沫煸炒至发白
              
            
              加1勺料酒
              
            
              1勺生抽
              
            
              半勺老抽
              
            
              1勺蚝油
              
            
              1小勺白糖
              
            
              半小勺十三香
              
            
              翻炒均匀
              
            
              把肉沫铺到蒸好的豆腐鸡蛋上
              
            
              淋1勺香油
              
            
              出锅撒葱花
              
            
              搅拌搅拌就可以吃啦
              
            "
"
                秒杀路边摊！香气扑鼻的【香辣孜然土豆】
            ",5,"
        以前特喜欢吃学校小吃街路边摊上的狼牙土豆，那个时候觉得狼牙土豆就是土豆做好吃的做法了，但是，我现在解锁了土豆更好吃的做法，绝对不亚于小吃街上的香辣孜然小土豆！做法超简单der～
      ","土豆1个,大蒜2瓣,香葱2根,食用油适量,蒜蓉辣椒酱1勺,孜然粉1勺,辣椒粉1勺,芝麻1勺","
              土豆削皮
              
            
              大蒜、香葱洗净
              
            
              土豆切丁
              
            
              大蒜切末
              
            
              香葱切末
              
            
              起锅烧水
              
            
              水开后放入土豆
              
            
              煮3分钟后捞起过冷水
              
            
              捞出后沥干水分
              
            
              下锅烧油
              
            
              锅里多加些食用油，放入土豆小火煎炸，煎炸至表皮金黄即可捞出备用。
              
            
              炸至金黄啦
              
            
              锅中留底油，加入蒜蓉辣椒酱
              
            
              加入大蒜
              
            
              放准备好的土豆
              
            
              加入1勺孜然粉
              
            
              1勺辣椒粉
              
            
              1勺芝麻
              
            
              搅拌均匀入味即可
              
            
              装盘，最后撒上葱花就可以啦
              
            
              太好吃了
              
            
              要不要来一口呀哈哈～
              
            "
"
                ㊙️ 百吃不厌的香煎带鱼，最经典的家常菜
            ",8.4,"
        带鱼的吃法有很多种，我比较喜欢煎，炸的虽说好吃但是吃多了太腻了，还是喜欢吃煎的怎么吃都不腻，很多人煎不好容易碎，今天就分享一下小窍门带鱼两条一斤多点
      ","带鱼2条,葱丝20g,花椒5g,盐4克,料酒或白酒1勺,十三香2g,姜丝10g","
              1⃣️带鱼去掉鱼鳍以及内脏，头切掉，洗净攥干水分或者用厨房纸巾给它擦干水分。2⃣️放入盆里加入腌制配料，姜葱，盐，花椒 ，十三香，白酒用手抓拌均匀，丢冰箱腌制三个小时或一夜。3⃣️腌制好把辅料挑出来备用，盆里倒点面粉把带鱼裹上面粉上下也裹一下 ，抖一抖抖掉多余的干面粉，放盘里备用。4⃣️锅里放入油比炒菜稍微多一点，把辅料小火炒制微黄，挥发出香气捞出扔掉5⃣️然后用锅里的油温度稍微高一点再放入带鱼，可以更好定型，放入带鱼中小火慢慢煎制两面金黄，切记不要老翻动带鱼，越动越碎噢
              
            
              外脆里嫩的带鱼就做好了，好好吃😋我家闺女可爱吃了
              
            
              外脆里嫩，好鲜美的鱼肉，我负责啃鱼刺，我闺女负责吃鱼肉😂
              
            "
"
                豆腐香菇
            ",1,"
        宝贝不爱吃豆腐不爱吃香菇，于是把多年前在电视上看到的这个菜改一下，宝贝可以吃好多啦～
      ","豆腐1块,干香菇随意,生抽1勺,盐适量,蚝油1勺,蒜苗1根,水适量","
              干香菇泡发
              
            
              豆腐切块
              
            
              蒜苗切段
              
            
              豆腐下锅
              
            
              煎至两面金黄
              
            
              水、蚝油、生抽焖2分钟
              
            
              起锅前撒蒜苗
              
            
              OK
              
            "
"
                香辣老豆腐
            ",8.2,"
        耗时：10分钟所需锅具：铸铁锅或不粘锅难易程度：★★★前段时间做了个老豆腐，我做完上了个洗手间，出来的时候几乎光盘了，很久没做豆腐，大家都嫌少😂  这次我买了很大一块，做的时候拍了教程，分享给大家。（BTW～最近做饭都有开直播，在“一直播”可以看到，用户名和下厨房一样，每天11点左右开始，可以看到往期的直播）
      ","老豆腐600克,美人椒2根,大蒜叶2根,大葱半根,盐2克,姜1块,生抽30毫升","
              准备材料。这里忘了把大葱也拍进去，你们不要忘记哦。
              
            
              将豆腐切成约1厘米的厚片。
              
            
              全部切好。
              
            
              锅内放油，多放一点儿，然后转动锅身，尽量让油浸润到锅的内壁。
              
            
              码入切好的豆腐片，撒上盐，切上姜片。根据不同的锅煎不同的时间，我用的是铸铁锅，煎了两分钟。如果一锅煎的下，那么煎的时候可以把两克盐都用完，如果煎不下分两次的话，每次撒一克盐。姜也同理  放姜是为了去豆腥味哈
              
            
              利用煎豆腐的时间把配料切好，美人椒和大蒜叶都斜切，大葱切圈
              
            
              将豆腐翻面，也煎两分钟。
              
            
              全部煎好后用盘子装好
              
            
              把配料下锅炒半分钟，大蒜先只放蒜白部分，蒜叶别放
              
            
              将煎好的豆腐下锅，加入约100毫升开水。
              
            
              加入生抽。这次写菜谱没有找到量杯（估计被小企鹅和柠檬拿去玩了），直接用勺子量的，这样的勺子两平勺生抽。
              
            
              翻一下煮2分钟，翻烂了也没关系，这样豆腐更入味。然后加入大蒜叶
              
            
              再炒10秒钟就可以啦
              
            
              起锅吧～
              
            "
"
                家常蛋炒饭
            ",7.9,"
        都说蛋炒饭是检验厨艺的标准，有些不以为然，因为不太喜欢干硬口感的炒饭。我喜欢用新鲜的米饭来炒饭，不用加很多油，不用反复地炒，只要将蛋和其他材料煸炒好，与米饭混合炒匀即可。
      ","米饭（冷饭）1大碗,鸡蛋1～2个,午餐肉70克,青豆仁1勺,胡萝卜粒1勺,玉米粒1勺,盐2～3克,料酒1小勺,鸡粉少许","
              将青豆仁、胡萝卜粒和玉米粒分别焯水备用；午餐肉改刀成小丁；如果用刚煮好的米饭，先盛出来摊凉；鸡蛋打散，加入少许料酒和盐，入油锅炒到凝结盛出；
            
              炒锅不用再加油，将米饭倒入炒散，调入适量盐，倒入所有配菜翻炒均匀即可；这样炒出来的蛋炒饭不会吸收很多油份，口感柔软入味，且更容易消化。
            "
"
                菠萝咕噜肉
            ",8.1,"
        菠萝买回家了，第一个反应就是要做菠萝咕噜肉，很馋这口的，好像最近几年每年的菠萝季都会做这道菜的。小时候吃的咕噜肉是全肥肉的，现在不敢吃了，虽然记忆中的味道很美好，但还是买了比较瘦的肉来做，不过说实话，如果不怕肥肉的话，尽量买肥多瘦少的肉更好吃。
      ","猪肉,菠萝,鸡蛋,小番茄,青椒,番茄酱,白醋,盐,生粉,糖,料酒","
              猪肉切成小方块，放进大碗
              
            
              加入1小勺盐
              
            
              加入1小勺生粉
              
            
              加入1小勺料酒，搅拌均匀，腌15分钟
              
            
              菠萝切成小块，用淡盐水浸泡10分钟后捞起
              
            
              小番茄和青椒切成小块备用
              
            
              腌好的肉里磕进一个鸡蛋
              
            
              加入2大勺生粉（我用的是玉米淀粉）
              
            
              搅拌均匀，让每块肉都挂到糊，没有多余的蛋液，如果感觉粉浆不够粘稠，可以再加点生粉，理想的挂糊状态是：粉浆全部粘在肉上，没有多余的蛋液
              
            
              锅里倒油，烧至8成热，逐块肉放入用中火炸至定型后，转小火炸熟
              
            
              捞起沥油
              
            
              肉放凉后，重新烧热油锅，倒入肉大火复炸1分钟，捞起沥油
              
            
              倒出锅里的油，把番茄酱、白醋、白糖倒进锅里，加一点点盐，淋入水淀粉，小火煮开成为酸甜汁（酸甜度根据自己的口味来决定，感觉太甜就加点白醋，感觉太酸就加点白糖）
              
            
              倒入菠萝、小番茄、青椒，翻拌均匀后关火
              
            
              倒入炸好放凉的肉
              
            
              快速翻拌均匀，让每块肉都裹上酸甜汁即可
              
            "
